Sentence,Class
ይህ ስምምነት ህገ-ወጥ የሰዎች ዝውውርን ትርጉም በአግባቡ ያስቀመጠ በመሆኑ ስደተኞችን በህገ-ወጥ መንገድ ድንበር ማሻገር ወንጀል ጋር ያለውን ልዩነት በቀላሉ መረዳት ስለሚያስችል የተሰጠውን ትርጉም ዓለም አቀፉ ማህበረሰብ እንዲከተለው የማእዘን ድንጋይ ያስቀመጠ ስምምነት ነው,Human trafficking law
በመሆኑም በህገ መንግስቱ ምዕራፍ ሶስት ስር ያሉትን ድንጋጌዎች በተመለከተ ኢትዮጵያ የተቀበለቻቸው ዓለም አቀፍ ስምምነቶች ከህገ መንግስቱ የበላይነት ዓላቸው ብለውም የሚከራከሩ አሉ,Human trafficking law
ፖሊስ ወይም መርማሪ ሊይዘው ወይም ሊጠራው መምጣቱን አውቆ ወይም ከተያዘ ወይም በቁጥጥር ስር ከዋለ በኋላ ያመለጠ እንደሆነ,ant-corruption law
የመንግስት ወይም የህዝባዊ ድርጅት ሰራተኛ ጥቅም የማግኘት ወይም የማስገኘት ሀሳብ ሳይኖረው,ant-corruption law
በሙስና ወንጀል የተገኘ ንብረት የአንድ የምንግስት መስሪያቤት ወይም የልማት ድርጅት ወይም የሌላ ግለሰብ ወይም ገንዘብ ከሆነ ይሄው የምንግስት መስሪያቤት ወይም የልማት ድርጅት ወይም ግለሰብ በሙስና ወንጀል የተገኘውን ንብረት ወይም ገንዘብ እንዲመለስበፍትሃብሄር ክስ እንዲመሰርት አግባብ ያለው አካል ሊያሳውቀው ይችላል,ant-corruption law
የመንግስት መስሪያቤት ማለት ሙሉ በሙሉ ወይም በከፊል በመንግስት በጀት የሚተዳደርና የፌደራል ወይም የክልል መንግስት ስራዎች የሚከናውኑበት ማናቸውም መስሪያ ቤት ነው,ant-corruption law
የሙስና ወንጀል በመፈጸሙ በፍትህ አካል እየተፈለገ መሆኑን እያወቀ   ወይም ተፈላጊ መሆኑን የሚገልጽ ማስታወቂያ መውጣቱን እያወቀ ወይም በዋስ ከተለቀቀ በኋላ ከፍትህ ያመለጠ እንደሆነ,ant-corruption law
በዚህ አንቀጽ ንዑስ አንቀጽ   1   የተደነገገው ቅጣት የድርጅቱን ወይም የማኀበሩን ባለቤት ሥራ አስኪያጅ ወይም በድርጅቱ ስም ወይም ለድርጅቱ ጥቅም ለማስገኘት በማሰብ በድርጊቱ የተሣተፈውን የድርጅቱን ወይም የማኀበሩን ሠራተኛ የወንጀል ተጠያቂነት እንደማያስቀረው ተደንግጓል,Human trafficking law
ምንም እንኳን ኢትዮጵያ በውጭ ሀገር የሚደረጉ ጉዲፌቻ ህጻናትን ለመጠበቅ የተፈረመውን የሄግ ስምምነት አባል ባትሆንም ህጻናት በጉዲፌቻ ለማደጎ ሲሰጡ ስምምነቱ በፍርድ ቤቶች ብቻ እንዲደረግና ፍርድ ቤቱም ይህንኑ ሲወስን በህገ መንግስቱ አንቀጽ 36 የተቀመጠውን የህጻናት ልዩ ጥቅም የሚያስጠብቅ መሆኑን መሰረት ማድረግ አለበት,Human trafficking law
ወንጀሉ የተፈጸመው በህዝብ አስተዳደር ወይም በህዝብ አገልግሎት ላይ የሆነ እንደሆነ እንደነገሩ ሁኔታ ከላይ ከተመለከቱት ንዑስ አንቀጾች በአንዱ መሰረት ያስቀጣል,ant-corruption law
ይህ አዋጅ የሙስና ወንጀሎች አዋጅ ቁጥር 88   /2007ተብሎ ሊጠቀስ ይችላል,ant-corruption law
ማንኛውም ሰው በዚህ አዋጅ አንቀጽ ለተመለከቱት ሰዎች ጉቦ የሰጠ እንደሆነ በዚህ አንቀጽ ንዑስ አንቀጽ በተመለከተው መሰረት ይቀጣል,ant-corruption law
ይኸውም የእንግሊዝኛው ቅጅ በሚል የተገለጸው ለስደተኝነት የዳረገ የሚለው ብቻ ሲሆን በአማርኛው ለወንጀል ድርጊቱ የተባለው አገላለጽ በእንግሊዝኛው ላይ አልተመለከተም,Human trafficking law
ምክንያቱም አንደኛ የይርጋ ጉዳይ የስነስርዓታዊ ጉዳይ በመሆኑ ይህ አዋጅ ወደኋላ ተመልሶ አይሰራም ሊባል አይችልም,Human trafficking law
የአዋጁ አንቀጽ 57 ተሰርዞ በሚከተለው አዲስ አንቀጽ 58 ተተክቷል   ነባሮቹ አንቀጾች 58 አና 59 እንደቅደተከተላቸው  አንቀጽ 59 እና 60 ሆነው ተሸጋሽገዋል,ant-corruption law
ማንኛውም ሰው የመምረጥ ወይም የመመረጥ መብት ያለው ሌላ ሰው በመብቱ በተወሰነ መንገድ እንዲጠቀም ወይም መብቱን እነዲተው ለማድረግ በቀጥታ ወይም በተዘዋዋሪ መንገድ ገንዘብ ወይም በማናቸውም ሌላ አይነት ጥቅም የሰጠ   ወይም ለመስጠት ቃል የገባ እንደሆነ   ከአምስት አመት በማይበልጥ ጽኑ እስራትና ከአምስት ሺህ ብር በማይበልጥ መቀጮ ይቀጣል,ant-corruption law
የአዋጁ አንቀጽ 5 ስደተኞች በህገ ወጥ መንገድ ድንበር የማሻገር ወንጀል ምንነትንና ቅጣቱን ያስቀመጠ ሲሆን በዚሁ መሰረት ንኡስ አንቀጽ   1   ማንኛውም ሰው በቀጥታም ሆነ በተዘዋዋሪ መንገድ የገንዘብ   ቁሣዊ ወይም ሌላ ጥቅም ለማግኘት በማሰብ ስደተኞችን በህገ ወጥ መንገድ ወደ ኢትዮጵያ ግዛት ለማስገባትም ሆነ ከኢትዮጵያ ለማስወጣት ሲል ድንበር ካሻገረ  ድንበር ለማሻገር ከሞከረ ወይም ለማሻገር በዝግጅት   ሰረዝ የተጨመረ   ላይ ከሆነ ከ15 እስከ 20 ዓመት የሚደረስ ጽኑ እስራትና ከብር 150 ሺህ እስከ 300 ሺህ በሚደርስ መቀጮ ይቀጣል በሚል ይደነግጋል,Human trafficking law
በዚህ አዋጅ አንቀጽ 37 ንዑስ አንቀጽ መሰረት የሚቀርብ የጽሁፍ መግለጫ የሚከተሉትን የያዘ መሆን ይኖርበታል,ant-corruption law
የአዋጁ አንቀጽ እንደተጠበቀ ሆኖ ፍ/ቤት በወንጀል የተገኘ ማንኛውም ንብረትና በወንጀል የተገኘ ንብረት ያፈራውን ንብረት ለማገድ ይችላል,ant-corruption law
ልዩ አዋቂው ባደረገው የዋጋ ግምት ዝርዝር መግለጫ ላይ ቀኑንና አመቱን ጽፎና ፈርሞበት ከመዝጋቢው ራፖር ጋር ይያያዛል,ant-corruption law
እንዲሁም የኢትዮጵያ ፌዴራላዊ ዴሞክራሲያዊ ሪፐብሊክ ሕገ መንግስት አንቀጽ 18 ንዑስ አንቀፅ  2  ማንኛውም ሰው በባርነት ወይም በግዴታ አገልጋይነት ሊያዝ አይችልም,Human trafficking law
በዚህ ስምምነት ህገ-ወጥ የሰዎች ዝውውር ከወሲብ ብዝበዛ ባለፈ ሌሎች የብዝበዛ መንገዶችንም በሰፊው አካቶ የያዘ ነው,Human trafficking law
"እንደ ሪፖርት በሀገሪቱ በሰሜን  ሽሬ  በምስራቅ  ሰመራ  እና በምዕራብ  አሶሳ እና ጋምቤላ በሚገኙ 23 የስደተኞች መጠለያ ጣቢያዎች 821,700 በላይ ለሚሆኑ ስደተኞች ከለላ ሆናለች",Human trafficking law
ከአምስት አመት በታች ጽኑ እስራት ለሚያስቀጣ ለእናንዳንዱ የቅጣት አመት ሰላሳ ሺህ ብር,ant-corruption law
ከዚህ ቁጥር ውስጥ 48%  ሴቶች ናቸው,Human trafficking law
ይህ ድንጋጌ የሕገ ወጥ ሰዎች ዝውውር ወንጀልን ያቋቁማል። እንዲሁም በሕገ ወጥ የሰዎች ዝውውር የወንጀሉን ማቋቋሚያ ዋነኛ መሰሶዎች ማለትም የወንጀሉ ድርጊት    የወንጀሉን ዘዴ ወይም መንገድ እና የወንጀሉን ዓላማ በሚያሳይ መልኩ እንዲቀረጽ ተደርጓል,Human trafficking law
የዚህ ድንጋጌ ዋናው ዓላማ ህገ ወጥ የሰዎች ዝውውር ወይም በህገ ወጥ መንገድ ድንበር ማሻገር ወንጀል ሊፈጸም መሆኑን መረጃ ያላው ማንኛውም ሰው ወንጀሉ ሀመፈጸሙ በፊት መረጃውን ለሚመለከተው አካል በመስተት ወንጀሎቹ እንዳይፈጸሙ ለማድረግና መከላከልን መሰረት ያደረገ ነው,Human trafficking law
"በተመሳሳይ መልኩ ሰውን በባሪያ መልክ የያዘ ወይም ያስቀመጠ ከ""ሥፍራ ሥፍራ ያዘዋወረው"" ወይም ""በጉልበቱ የተገለገለበት እንደሆነ"" በተመሳሳይ ቅጣት ይቀጣል",Human trafficking law
በመሆኑም የሚመለከተው አካል በአዋጁ ያሉትን ክፍተቶች በማረም የወንጀል ድርጊቱን ለመከላከል የሚያስችል ህግ ለህግ አውጭው በማቅረብ ሊያጸድቅ ይገባል,Human trafficking law
ከወደብ ከመድረሳቸው በፊት ወርደው የቀረውን መንገድ በዋና እንዲሄዱ ይደረጋል,Human trafficking law
በመተማ በኩል በማድረግ ወደ  ሱዳን  ከዚያም አልፎ ሊቢያን  ጨምሮ ወደ ተለያዩ  አውሮፓ ሀገራት  የሚታለፍበት  መስመር ነው,Human trafficking law
የዚህ አዋጅ አንቀጽ 35 እና 36 ድንጋጌዎች ቢኖሩም ይህ አዋጅ በስራ ላይ ከመዋሉ በፊት የተፈጸሙ የሙስና ወንጀሎች የሚታዩት በወንጀል ህጉ ድንጋጌዎች መሰረት ይሆናል,ant-corruption law
አግባብ ያለው አካል የሚደርሰውን ጥቆማ በተመለከተ ቢያንስ የሚከተሉትን ማስረጃዎች በመዝገብ ማስፈር ይኖርበታል,ant-corruption law
የሀይማኖት ድርጅት ማለት የአንድ ሀይማኖት ተከታዮች ሀይማኖታቸውን ለማደራጀትና ለማስፋፋት የሚያቋቁሙት ተቋም ወይም ቤተ እምነት ሲሆን የበጎ አድራጎት አላማዎችን ለማሳካት በሀይማኖት ድርጅቱ የተቋቋሙ ድርጅቶችን አያጠቃልልም,ant-corruption law
ፈራሚ ሀገራት በህጋቸውም የቃላቱ ትርጓሜ ቃል በቃል እንደ ፕሮቶኮሉ ባይመሳሰልም በማናቸውም ሁኔታ የሰዎች ዝውውር ወንጀልነቱ መገለፅ አለበት,Human trafficking law
ይሁን እንጅ በማንኛውም መንገድ የሚለው አገላለጽ ህገ ወጥ ሰው አዘዋዋሪ ሰዎችን ለማዘዋዋር የተለያዩ መንገዶችን የሚጠቀም በመሆኑ ተገቢነት ያለው ቢሆንም ስደተኞችን በህገወጥ መንገድ ድንበር የሚያሻግር ግን ድርጊቱ የሚወሰነው ድንበር በሚሻገሩት ሰወች ፈቃድ ላይ የተመሰረተ በመሆኑ በማናቸውም መንገድ የሚለው አገላለጽ ለዚህኛው ድርጊት ተገቢነት የለውም,Human trafficking law
ዝርዝሩም ከዚህ ቀጥሎ የተመለከቱትን ነገሮች ይይዛል,ant-corruption law
ህግ አውጭውም የሀገር ሉአላዊ ግዛት እንዲደፈር ይህን ድንጋጌ ሙሉ በሙሉ ሽሮታል ሊባል አይችልም የሚል እምነት አለኝ,Human trafficking law
ይህ አንቀጽ በዋናነት የኢፌዲሪ የወንጀል ፍትህ ፖሊሲ አጠቃላይ የፖሊሲ አቅጣጫ ሰነድ ተወስዶ ከወንጀሉ ጋር ተስማሚነት ባለው መልኩ የተቀረፀ ሀሳብ ነው,Human trafficking law
3 “አግባብ ያለው አካል” ማለት የሙስና ወንጀልን ለመመርመርና ወይም ለመክሰስ ሥልጣን የተሰጠው አካል ነው,ant-corruption law
በፍርድ እንዲወረስ ውሳኔ የተሰጠበትን ንብረት አግባብ ያለው አካል በመረከብ ለመንግስት ያስረክባል,ant-corruption law
አስፈላጊ ሆኖ ካገኘውም ሹመቱን ከመስጠቱ በፊት አስፈላጊው ማጣራት እንዲደረግ ማዘዝ ይችላል,ant-corruption law
ከተመሰረተ ወይም ካልተመሰረተ የአስተዳደር   የፍትሃ ብሄር ወይም የወንጀል ክስ ወይም ካስከተለው ወይም ከሚያስከትለው ማናቸውም ቅጣት ወይም የችሎታ ማጣት በማዳን ወይም ይህንን በመሰለ ዘዴ የሚደረግን አገልግሎትን ወይም ውለታ,ant-corruption law
በእግር በሚደረግ ጉዞ ሲሆን ደግሞ ብዙውን ጊዜ በጨለማና በጫካ ውስጥ ረጅም ርቀት እንዲጓዙ ይገደዳሉ   በአውሬ ተበልተው እንዲሞቱ ይዳረጋሉ,Human trafficking law
በአዋጁ አንቀጽ 5 የተሸፈነው ጉዳይም ስደተኞችን ድንበር ከማሻገር ጋር ተያይዞ የሚፈጸም ወንጀልን የሚመለከት ነው,Human trafficking law
በዚህ አንቀጽ ንዑስ አንቀጽ መሰረት የቀረበውን የጽሁፍ መግለጫ የተከሳሽን ተቃውሞ መሰረት በማድረግ ፍ/ቤቱ ተገቢ ነው ብሎ ባመነበት  መንገድ እንዲያሻሽል ሊያዘው ይችላል,ant-corruption law
ምንም እንኳን የሰዎችን ብዝበዛ ለመከላከል የተለያዩ ዓለም አቀፍ ስምምነቶች የነበሩ ቢሆንም ሁሉ አቀፍ የሆነ ሁሉንም አይነት የህገ-ወጥ የሰዎች ዝውውር የሚደረግባቸውን የብዝበዛ ዓላማዎች ያካተቱ አልነበሩም,Human trafficking law
ይሁን እንጅ እንደ ጸሃፊው ዕምነት የሀገሪቱ ህገ መንግስት የሀገሪቱ ህዝቦች አብሮ የመኖር ዋስትና እና የቃል ኪዳን ሰነድ በመሆኑና የሀገሪቱም የበላይ ህግ መሆኑ በዚሁ ህገ መንግስት የተደነገገ በመሆኑ ኢትዮጵያ ተቀብላ ያጸደቀቻቸው ዓለም አቀፍ ስምምነቶች ከህገ መንግስቱ የበላይ የሚሆኑበት ወይም እኩል ደረጃ የሚቀመጡበት አግባብ የለም,Human trafficking law
በዚህ ንኡስ አንቀጽ ከፊደል ተራ ሀ እስከረ ከተጠቀሱት ጥቅሞች አንዱን ማቅረብን   ጥቅሙ የሚገኝበትን መንገድ ማመቻቸትን ወይም ይህንኑ በሚመለከት የተስፋ ቃል መግባትን ወይም መቀበልን,ant-corruption law
ነገር ግን እንደ ጸሃፊው እምነት ህገ ወጥ የሰዎች ዝውውር ድርጊቱ የሚፈጸመው በድብቅ   በተደራጀ መንገድ ከመሆኑም በላይ ብዝበዛው የሚከናወነውም በመዳረሻ ሀገራት በመሆኑ በተለይ የወንጀሉ ዘዴዎች ማታለል  የተስፋ ቃል መስጠት  ዛቻእና ድርጊቶች ምልመላ  ማጓጓዝ የመሳሰሉት ከተፈጸሙ ይህን ድርጊት የፈጸመው የብዝበዛ ዓላማ ያለው ለመሆኑ ህጉ ግምት እንዲወስድ አድርጎ መቀረጽ ነበረበት,Human trafficking law
ንብረትን   የፋይናስ አቋምን ወይም ስጦታ መቀበልን ማስመዝገብ ወይም ማሳወቅ እንደሚገባ በህግ ወይም በደንብ በተደነገገ ጊዜ አለማሳወቅ በዚህ አንቀጽ   በተመለከተው መሰረት ያስቀጣል,ant-corruption law
በዚህ አንቀጽ   የተመለከተው ወንጀል የተፈጸመው በቸልተኝነት እንደሆነ   ቅጣቱ እስከ ሁለት ሺህ ብር የሚደርስ መቀጮ ይሆናል,ant-corruption law
